+----------------------------+----------------+----------+--------------------+---------------------+-----------------------------------+------------------------+
| Department                 | Admission_Year | KEN_Code | Total_Base_Revenue | Total_Extra_Revenue | Insurance_Provider                | Total_Hospitalizations |
| Νευρολογία                 |           2023 | Β03Α     |                771 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Θ20Μ     |               4296 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Κ33Α     |               3132 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Κ35Χ     |                521 |                 800 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Κ37Μ     |               1198 |                1100 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Μ64Μ     |               2669 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Μ74Α     |                350 |                1200 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Ν36Μ     |               1486 |                1100 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Π27Α     |                265 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2023 | Π45Χ     |                623 |                 600 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Τ04Α     |              11997 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Υ09Χα    |               1919 |                 700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2023 | Φ22Χ     |                827 |                1100 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Ω03Α     |               1281 |                 800 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2023 | Ω04Μ     |               3125 |                 700 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Α20Μ     |               3696 |                 700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Δ12Χα    |               3097 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Ζ02Μ     |               7225 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Η41Χ     |                872 |                1200 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Θ20Χ     |               1580 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Κ02Α     |               2844 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Κ05Χ     |               7270 |                   0 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2023 | Κ14Μα    |               3569 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Κ21Χ     |               1494 |                 400 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2023 | Κ41Χ     |               2397 |                 200 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Κ43Μ     |               1471 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Λ04Χ     |                571 |                1400 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Μ30Α     |                891 |                 100 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2023 | Ν01Μ     |               2528 |                1200 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Ν04Χ     |               2470 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Ν30Μα    |               3408 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Ο02Α     |               1611 |                 300 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2023 | Π04Χ     |               1578 |                 200 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2023 | Π42Α     |               1097 |                1000 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Ρ22Μ     |               1105 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2023 | Ρ24Χ     |                623 |                 800 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Α22Χ     |                630 |                1600 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Ζ22Χ     |                397 |                1300 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Θ21Α     |               2599 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Κ03Χ     |              11734 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ογκολογία                  |           2023 | Κ03Χ     |              11734 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Κ05Χ     |               7270 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Κ17Μ     |               2892 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Μ74Α     |                350 |                 600 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Ν01Χ     |               1980 |                 400 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Ξ20Χβ    |                257 |                1500 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Π12Μβ    |               1932 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Π41Μ     |               1027 |                1100 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2023 | Υ08Μ     |               1271 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2023 | Α02Χ     |                683 |                1400 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Ε13Α     |              37063 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2023 | Η05Χ     |               1393 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Μ27Μ     |               2179 |                 500 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Μ71Μ     |               1323 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Ν20Χ     |               2576 |                 400 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Ν24Χ     |               1159 |                 600 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2023 | Π04Χ     |               1578 |                 300 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Π28Α     |                290 |                1100 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Π43Α     |                335 |                 800 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Ρ10Μα    |               7118 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Τ27Μγ    |                918 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Φ04Χ     |               5558 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2023 | Φ40Α     |               3649 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2023 | Χ44Α     |               1152 |                 300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ουρολογία                  |           2023 | Θ06Μ     |               2620 |                1200 | Ανασφάλιστος                      |                      1 |
| Ουρολογία                  |           2023 | Κ06Χ     |               5077 |                 400 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Ν07Μ     |               2513 |                 300 | Ανασφάλιστος                      |                      1 |
| Ουρολογία                  |           2023 | Ν29Χ     |                545 |                 100 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Ν33Α     |                739 |                 200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ουρολογία                  |           2023 | Ν39Μ     |               1323 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Ο13Α     |                336 |                 800 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Ο22Α     |                327 |                1300 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Π41Μ     |               1027 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Ρ20Α     |               6023 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2023 | Φ60Μ     |               1144 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ουρολογία                  |           2023 | Ω30Μ     |               2288 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Δ12Χα    |               3097 |                 500 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Δ20Μ     |               2669 |                 400 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Θ20Α     |                297 |                 500 | Ανασφάλιστος                      |                      1 |
| Οφθαλμολογία               |           2023 | Μ19Μ     |               2648 |                 300 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Μ67Χ     |                996 |                 400 | Ανασφάλιστος                      |                      1 |
| Οφθαλμολογία               |           2023 | Ν28Μ     |               1907 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Ο17Α     |               2423 |                 600 | Ανασφάλιστος                      |                      1 |
| Οφθαλμολογία               |           2023 | Σ21Χ     |               1886 |                1200 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Υ05Μ     |               2848 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Χ40Α     |                140 |                1000 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2023 | Ω04Μ     |               3125 |                 600 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | S21Μ     |                887 |                 700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | S25Α     |               1082 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Α34Χ     |                638 |                1100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Β20Χ     |                413 |                1400 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Δ20Α     |                171 |                 100 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Δ23Μ     |                965 |                 400 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Δ24Μ     |               1619 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Ζ02Χ     |               2979 |                1200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Ζ21Α     |                848 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Κ06Μ     |               7182 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Κ32Α     |               1043 |                 700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Μ67Χ     |                996 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Μ75Χ     |                405 |                1700 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Ν28Μ     |               1907 |                 100 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Ν38Χ     |                879 |                 600 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2023 | Ν39Μ     |               1323 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Π04Μβ    |               2710 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2023 | Ρ22Χ     |                444 |                1700 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | S01Χ     |               1334 |                1000 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Α01Χ     |               2712 |                 500 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Β06Χ     |               1659 |                 700 | Ανασφάλιστος                      |                      1 |
| Πνευμονολογία              |           2023 | Δ20Μ     |               2669 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Δ25Χ     |                350 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2023 | Η40Μβ    |                965 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Κ42Μ     |               2054 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Λ01Μ     |               2171 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2023 | Ν32Μ     |               3175 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2023 | Σ21Α     |                294 |                1400 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Σ21Χ     |               1886 |                 400 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2023 | Φ11Χ     |               1883 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | S01Χ     |               1334 |                 800 | Ανασφάλιστος                      |                      1 |
| Χειρουργική                |           2023 | Κ13Μ     |               3969 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Ν03Χ     |               3990 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Χειρουργική                |           2023 | Ν41Χ     |                693 |                1300 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Π42Α     |               1097 |                1500 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Σ03Χ     |               1099 |                 900 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Τ27Μβ    |               1294 |                1200 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Υ06Μ     |               2381 |                 900 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2023 | Φ10Α     |               1472 |                1300 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2023 | S21Μ     |                887 |                 300 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2023 | Α01Χ     |               2712 |                1100 | Ανασφάλιστος                      |                      1 |
| ΩΡΛ                        |           2023 | Α34Μβ    |               1393 |                 500 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2023 | Η06Μ     |               4646 |                   0 | Ανασφάλιστος                      |                      1 |
| ΩΡΛ                        |           2023 | Η44Χ     |                436 |                 500 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2023 | Η44Χ     |                436 |                1800 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2023 | Κ14Χ     |               1277 |                1200 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2023 | Ν32Χ     |               1183 |                 900 | Ανασφάλιστος                      |                      1 |
| ΩΡΛ                        |           2023 | Π02Μ     |               5741 |                   0 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2023 | Τ20Χ     |                512 |                1700 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2023 | Υ02Χ     |               1189 |                 600 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2023 | Υ05Χ     |               1000 |                 500 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | S20Μ     |               2716 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2024 | Α01Μ     |               4701 |                 200 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Ε08Χ     |               3683 |                 300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Κ06Μ     |               7182 |                 300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Κ30Μ     |               6295 |                 300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Κ42Χ     |                934 |                 700 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Κ43Μ     |               1471 |                 900 | Ανασφάλιστος                      |                      1 |
| Δερματολογία               |           2024 | Μ13Μ     |               3893 |                 600 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Μ16Α     |               1588 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2024 | Π05Χ     |               1379 |                 800 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Τ21Α     |              41579 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Υ22Μ     |               1471 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2024 | Ω04Χ     |               1934 |                1700 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Α10Χ     |               4627 |                1000 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Δ20Μ     |               2669 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Η01Μ     |               7916 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Η06Μ     |               4646 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Η40Μβ    |                965 |                 500 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Μ12Μβ    |               2993 |                 500 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Μ29Α     |               1903 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Ν27Μα    |               2529 |                 200 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Π26Μ     |               3338 |                 300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2024 | Π42Α     |               1097 |                 300 | Ανασφάλιστος                      |                      1 |
| Επείγοντα                  |           2024 | Σ20Χ     |                988 |                 900 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Φ27Μ     |               3631 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2024 | Ω30Μ     |               2288 |                 100 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | G01Μβ    |               3573 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Β22Α     |                545 |                 400 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Ε06Χα    |              20597 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2024 | Ζ03Α     |               2312 |                1400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2024 | Θ09Χβ    |               1765 |                 200 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2024 | Κ21Χ     |               1494 |                1000 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Λ01Χ     |               1541 |                 600 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Μ77Μ     |               2257 |                   0 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2024 | Σ02Μ     |               5777 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Φ24Χ     |                934 |                1700 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Ω04Μ     |               3125 |                 900 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2024 | Ω05Α     |               1859 |                1300 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2024 | Α34Μα    |               1977 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2024 | Δ20Μ     |               2669 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2024 | Κ33Χ     |                669 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2024 | Κ33Χ     |                669 |                 800 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2024 | Μ75Μ     |               1455 |                 100 | Ανασφάλιστος                      |                      1 |
| Μαιευτική                  |           2024 | Ν03Μ     |               5914 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2024 | Ν03Χ     |               3990 |                1100 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2024 | Ξ20Μ     |               1945 |                   0 | ΕΦΚΑ                              |                      1 |
