Department	shift_date	shift_type	Main_Profession	Subclass_Role	Staff_Count
Παιδιατρική	2026-05-10	Afternoon	Doctor	Παιδιατρική	2
Παιδιατρική	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	3
Παιδιατρική	2026-05-10	Afternoon	Nurse	Προϊστάμενος	3
Πνευμονολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	2
Πνευμονολογία	2026-05-10	Afternoon	Doctor	Πνευμονολογία	2
Πνευμονολογία	2026-05-10	Afternoon	Doctor	Παθολογία	1
Πνευμονολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	3
Πνευμονολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Πνευμονολογία	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Χειρουργική	2026-05-10	Afternoon	Admin	Γραμματέας	1
Χειρουργική	2026-05-10	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Χειρουργική	2026-05-10	Afternoon	Doctor	Αναισθησιολογία	3
Χειρουργική	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
Χειρουργική	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Χειρουργική	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
ΩΡΛ	2026-05-10	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
ΩΡΛ	2026-05-10	Afternoon	Admin	Γραμματέας	1
ΩΡΛ	2026-05-10	Afternoon	Doctor	ΩΡΛ	1
ΩΡΛ	2026-05-10	Afternoon	Doctor	Χειρουργική	2
ΩΡΛ	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
ΩΡΛ	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
ΩΡΛ	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Δερματολογία	2026-05-10	Morning	Admin	Υπεύθυνος Προμηθειών	1
Δερματολογία	2026-05-10	Morning	Admin	Λογιστής	1
Δερματολογία	2026-05-10	Morning	Doctor	Δερματολογία	3
Δερματολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	3
Δερματολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	3
Καρδιολογία	2026-05-10	Morning	Admin	Γραμματέας	1
Καρδιολογία	2026-05-10	Morning	Admin	Διαχειριστής	1
Καρδιολογία	2026-05-10	Morning	Doctor	Καρδιολογία	3
Καρδιολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	1
Καρδιολογία	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	4
Καρδιολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	1
Μαιευτική	2026-05-10	Morning	Admin	Διαχειριστής	1
Μαιευτική	2026-05-10	Morning	Admin	Γραμματέας	1
Μαιευτική	2026-05-10	Morning	Doctor	Μαιευτική-Γυναικολογία	2
Μαιευτική	2026-05-10	Morning	Doctor	Γυναικολογία	1
Μαιευτική	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	3
Μαιευτική	2026-05-10	Morning	Nurse	Προϊστάμενος	1
Μαιευτική	2026-05-10	Morning	Nurse	Νοσηλευτής	2
ΜΕΘ	2026-05-10	Morning	Admin	Γραμματέας	2
ΜΕΘ	2026-05-10	Morning	Doctor	Πνευμονολογία	2
ΜΕΘ	2026-05-10	Morning	Doctor	Παθολογία	1
ΜΕΘ	2026-05-10	Morning	Nurse	Νοσηλευτής	2
ΜΕΘ	2026-05-10	Morning	Nurse	Προϊστάμενος	4
Νευρολογία	2026-05-10	Morning	Admin	Διαχειριστής	1
Νευρολογία	2026-05-10	Morning	Admin	Λογιστής	1
Νευρολογία	2026-05-10	Morning	Doctor	Ψυχιατρική	2
Νευρολογία	2026-05-10	Morning	Doctor	Νευρολογία	1
Νευρολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	4
Νευρολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	1
Νευρολογία	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	1
Νεφρολογία	2026-05-10	Morning	Admin	Γραμματέας	1
Νεφρολογία	2026-05-10	Morning	Admin	Υπεύθυνος Προμηθειών	1
Νεφρολογία	2026-05-10	Morning	Doctor	Παθολογία	1
Νεφρολογία	2026-05-10	Morning	Doctor	Νεφρολογία	2
Νεφρολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	2
Νεφρολογία	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	1
Νεφρολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	3
Ογκολογία	2026-05-10	Morning	Admin	Διαχειριστής	2
Ογκολογία	2026-05-10	Morning	Doctor	Ογκολογία	1
Ογκολογία	2026-05-10	Morning	Doctor	Αιματολογία	2
Ογκολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	2
Ογκολογία	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	3
Ογκολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	1
Ορθοπεδική	2026-05-10	Morning	Admin	Υπεύθυνος Προμηθειών	1
Ορθοπεδική	2026-05-10	Morning	Admin	Γραμματέας	1
Ορθοπεδική	2026-05-10	Morning	Doctor	Ρευματολογία	1
Ορθοπεδική	2026-05-10	Morning	Doctor	Ορθοπεδική	2
Ορθοπεδική	2026-05-10	Morning	Nurse	Προϊστάμενος	4
Ορθοπεδική	2026-05-10	Morning	Nurse	Νοσηλευτής	2
Πνευμονολογία	2026-05-10	Morning	Admin	Διαχειριστής	1
Πνευμονολογία	2026-05-10	Morning	Admin	Υπεύθυνος Προμηθειών	1
Πνευμονολογία	2026-05-10	Morning	Doctor	Παθολογία	1
Πνευμονολογία	2026-05-10	Morning	Doctor	Πνευμονολογία	1
Πνευμονολογία	2026-05-10	Morning	Doctor	Μολυσματολογία	1
Πνευμονολογία	2026-05-10	Morning	Nurse	Νοσηλευτής	3
Πνευμονολογία	2026-05-10	Morning	Nurse	Βοηθός Νοσηλευτή	2
Πνευμονολογία	2026-05-10	Morning	Nurse	Προϊστάμενος	1
Δερματολογία	2026-05-10	Night	Admin	Λογιστής	1
Δερματολογία	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Δερματολογία	2026-05-10	Night	Doctor	Δερματολογία	3
Δερματολογία	2026-05-10	Night	Nurse	Νοσηλευτής	1
Δερματολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	4
Δερματολογία	2026-05-10	Night	Nurse	Προϊστάμενος	1
Επείγοντα	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	2
Επείγοντα	2026-05-10	Night	Doctor	Καρδιολογία	1
Επείγοντα	2026-05-10	Night	Doctor	Παθολογία	2
Επείγοντα	2026-05-10	Night	Nurse	Νοσηλευτής	4
Επείγοντα	2026-05-10	Night	Nurse	Προϊστάμενος	2
Καρδιολογία	2026-05-10	Night	Admin	Διαχειριστής	1
Καρδιολογία	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Καρδιολογία	2026-05-10	Night	Doctor	Καρδιολογία	2
Καρδιολογία	2026-05-10	Night	Doctor	Αιματολογία	1
Καρδιολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	3
Καρδιολογία	2026-05-10	Night	Nurse	Νοσηλευτής	2
Καρδιολογία	2026-05-10	Night	Nurse	Προϊστάμενος	1
Μαιευτική	2026-05-10	Night	Admin	Λογιστής	1
Μαιευτική	2026-05-10	Night	Admin	Γραμματέας	1
Μαιευτική	2026-05-10	Night	Doctor	Μαιευτική-Γυναικολογία	3
Μαιευτική	2026-05-10	Night	Nurse	Νοσηλευτής	4
Μαιευτική	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	2
ΜΕΘ	2026-05-10	Night	Admin	Γραμματέας	2
ΜΕΘ	2026-05-10	Night	Doctor	Αναισθησιολογία	1
ΜΕΘ	2026-05-10	Night	Doctor	Πνευμονολογία	2
ΜΕΘ	2026-05-10	Night	Nurse	Νοσηλευτής	2
ΜΕΘ	2026-05-10	Night	Nurse	Προϊστάμενος	4
Νευρολογία	2026-05-10	Night	Admin	Διαχειριστής	1
Νευρολογία	2026-05-10	Night	Admin	Γραμματέας	1
Νευρολογία	2026-05-10	Night	Doctor	Νευρολογία	3
Νευρολογία	2026-05-10	Night	Nurse	Προϊστάμενος	3
Νευρολογία	2026-05-10	Night	Nurse	Νοσηλευτής	3
Νεφρολογία	2026-05-10	Night	Admin	Γραμματέας	1
Νεφρολογία	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Νεφρολογία	2026-05-10	Night	Doctor	Νεφρολογία	3
Νεφρολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	3
Νεφρολογία	2026-05-10	Night	Nurse	Νοσηλευτής	3
Ογκολογία	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Ογκολογία	2026-05-10	Night	Admin	Διαχειριστής	1
Ογκολογία	2026-05-10	Night	Doctor	Ογκολογία	2
Ογκολογία	2026-05-10	Night	Doctor	Αιματολογία	1
Ογκολογία	2026-05-10	Night	Nurse	Νοσηλευτής	2
Ογκολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	1
Ογκολογία	2026-05-10	Night	Nurse	Προϊστάμενος	3
Ορθοπεδική	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Ορθοπεδική	2026-05-10	Night	Admin	Λογιστής	1
Ορθοπεδική	2026-05-10	Night	Doctor	Ορθοπεδική	2
Ορθοπεδική	2026-05-10	Night	Doctor	Ρευματολογία	1
Ορθοπεδική	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	3
Ορθοπεδική	2026-05-10	Night	Nurse	Προϊστάμενος	3
Ουρολογία	2026-05-10	Night	Admin	Διαχειριστής	1
Ουρολογία	2026-05-10	Night	Admin	Γραμματέας	1
Ουρολογία	2026-05-10	Night	Doctor	Χειρουργική	1
Ουρολογία	2026-05-10	Night	Doctor	Ουρολογία	2
Ουρολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	4
Ουρολογία	2026-05-10	Night	Nurse	Προϊστάμενος	1
Ουρολογία	2026-05-10	Night	Nurse	Νοσηλευτής	1
Οφθαλμολογία	2026-05-10	Night	Admin	Γραμματέας	2
Οφθαλμολογία	2026-05-10	Night	Doctor	Οφθαλμολογία	2
Οφθαλμολογία	2026-05-10	Night	Doctor	Χειρουργική	1
Οφθαλμολογία	2026-05-10	Night	Nurse	Προϊστάμενος	2
Οφθαλμολογία	2026-05-10	Night	Nurse	Νοσηλευτής	2
Οφθαλμολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	2
Παιδιατρική	2026-05-10	Night	Admin	Διαχειριστής	1
Παιδιατρική	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Παιδιατρική	2026-05-10	Night	Doctor	Παιδιατρική	3
Παιδιατρική	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	1
Παιδιατρική	2026-05-10	Night	Nurse	Προϊστάμενος	4
Παιδιατρική	2026-05-10	Night	Nurse	Νοσηλευτής	1
Πνευμονολογία	2026-05-10	Night	Admin	Γραμματέας	1
Πνευμονολογία	2026-05-10	Night	Admin	Λογιστής	1
Πνευμονολογία	2026-05-10	Night	Doctor	Μολυσματολογία	1
Πνευμονολογία	2026-05-10	Night	Doctor	Πνευμονολογία	2
Πνευμονολογία	2026-05-10	Night	Nurse	Προϊστάμενος	3
Πνευμονολογία	2026-05-10	Night	Nurse	Νοσηλευτής	2
Πνευμονολογία	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	1
Χειρουργική	2026-05-10	Night	Admin	Λογιστής	1
Χειρουργική	2026-05-10	Night	Admin	Υπεύθυνος Προμηθειών	1
Χειρουργική	2026-05-10	Night	Doctor	Αναισθησιολογία	2
Χειρουργική	2026-05-10	Night	Doctor	Χειρουργική	1
Χειρουργική	2026-05-10	Night	Nurse	Προϊστάμενος	5
Χειρουργική	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	1
ΩΡΛ	2026-05-10	Night	Admin	Λογιστής	2
ΩΡΛ	2026-05-10	Night	Doctor	ΩΡΛ	3
ΩΡΛ	2026-05-10	Night	Nurse	Βοηθός Νοσηλευτή	3
ΩΡΛ	2026-05-10	Night	Nurse	Προϊστάμενος	3
Δερματολογία	2026-05-11	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Δερματολογία	2026-05-11	Afternoon	Admin	Λογιστής	1
Δερματολογία	2026-05-11	Afternoon	Doctor	Δερματολογία	3
Δερματολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Δερματολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	2
Δερματολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Επείγοντα	2026-05-11	Afternoon	Admin	Λογιστής	1
Επείγοντα	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Επείγοντα	2026-05-11	Afternoon	Doctor	Χειρουργική	1
Επείγοντα	2026-05-11	Afternoon	Doctor	Καρδιολογία	1
Επείγοντα	2026-05-11	Afternoon	Doctor	Παιδιατρική	1
Επείγοντα	2026-05-11	Afternoon	Nurse	Νοσηλευτής	3
Επείγοντα	2026-05-11	Afternoon	Nurse	Προϊστάμενος	1
Επείγοντα	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Καρδιολογία	2026-05-11	Afternoon	Admin	Γραμματέας	1
Καρδιολογία	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Καρδιολογία	2026-05-11	Afternoon	Doctor	Αιματολογία	2
Καρδιολογία	2026-05-11	Afternoon	Doctor	Καρδιολογία	1
Καρδιολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Καρδιολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	3
Καρδιολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	1
Μαιευτική	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Μαιευτική	2026-05-11	Afternoon	Admin	Γραμματέας	1
Μαιευτική	2026-05-11	Afternoon	Doctor	Μαιευτική-Γυναικολογία	2
Μαιευτική	2026-05-11	Afternoon	Doctor	Γυναικολογία	1
Μαιευτική	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Μαιευτική	2026-05-11	Afternoon	Nurse	Προϊστάμενος	4
Μαιευτική	2026-05-11	Afternoon	Nurse	Νοσηλευτής	1
ΜΕΘ	2026-05-11	Afternoon	Admin	Γραμματέας	1
ΜΕΘ	2026-05-11	Afternoon	Admin	Διαχειριστής	1
ΜΕΘ	2026-05-11	Afternoon	Doctor	Πνευμονολογία	2
ΜΕΘ	2026-05-11	Afternoon	Doctor	Παθολογία	1
ΜΕΘ	2026-05-11	Afternoon	Nurse	Προϊστάμενος	5
ΜΕΘ	2026-05-11	Afternoon	Nurse	Νοσηλευτής	1
Νευρολογία	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Νευρολογία	2026-05-11	Afternoon	Admin	Γραμματέας	1
Νευρολογία	2026-05-11	Afternoon	Doctor	Ψυχιατρική	1
Νευρολογία	2026-05-11	Afternoon	Doctor	Νευρολογία	2
Νευρολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	3
Νευρολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	2
Νευρολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Νεφρολογία	2026-05-11	Afternoon	Admin	Υπεύθυνος Προμηθειών	2
Νεφρολογία	2026-05-11	Afternoon	Doctor	Νεφρολογία	3
Νεφρολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Νεφρολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	3
Νεφρολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Ογκολογία	2026-05-11	Afternoon	Admin	Λογιστής	1
Ογκολογία	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Ογκολογία	2026-05-11	Afternoon	Doctor	Ογκολογία	3
Ογκολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Ογκολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	3
Ογκολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Ορθοπεδική	2026-05-11	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Ορθοπεδική	2026-05-11	Afternoon	Admin	Λογιστής	1
Ορθοπεδική	2026-05-11	Afternoon	Doctor	Ρευματολογία	2
Ορθοπεδική	2026-05-11	Afternoon	Doctor	Ορθοπεδική	1
Ορθοπεδική	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Ορθοπεδική	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	3
Ορθοπεδική	2026-05-11	Afternoon	Nurse	Νοσηλευτής	1
Ουρολογία	2026-05-11	Afternoon	Admin	Λογιστής	1
Ουρολογία	2026-05-11	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Ουρολογία	2026-05-11	Afternoon	Doctor	Χειρουργική	1
Ουρολογία	2026-05-11	Afternoon	Doctor	Ουρολογία	2
Ουρολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	4
Ουρολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	2
Οφθαλμολογία	2026-05-11	Afternoon	Admin	Λογιστής	1
Οφθαλμολογία	2026-05-11	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Οφθαλμολογία	2026-05-11	Afternoon	Doctor	Οφθαλμολογία	2
Οφθαλμολογία	2026-05-11	Afternoon	Doctor	Χειρουργική	1
Οφθαλμολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Οφθαλμολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	3
Οφθαλμολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
Παιδιατρική	2026-05-11	Afternoon	Admin	Λογιστής	1
Παιδιατρική	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Παιδιατρική	2026-05-11	Afternoon	Doctor	Οφθαλμολογία	1
Παιδιατρική	2026-05-11	Afternoon	Doctor	Παιδιατρική	2
Παιδιατρική	2026-05-11	Afternoon	Nurse	Προϊστάμενος	3
Παιδιατρική	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Παιδιατρική	2026-05-11	Afternoon	Nurse	Νοσηλευτής	2
Πνευμονολογία	2026-05-11	Afternoon	Admin	Διαχειριστής	1
Πνευμονολογία	2026-05-11	Afternoon	Admin	Λογιστής	1
Πνευμονολογία	2026-05-11	Afternoon	Doctor	Παθολογία	1
Πνευμονολογία	2026-05-11	Afternoon	Doctor	Πνευμονολογία	2
Πνευμονολογία	2026-05-11	Afternoon	Nurse	Προϊστάμενος	3
Πνευμονολογία	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Πνευμονολογία	2026-05-11	Afternoon	Nurse	Νοσηλευτής	1
Χειρουργική	2026-05-11	Afternoon	Admin	Διαχειριστής	2
Χειρουργική	2026-05-11	Afternoon	Doctor	Αναισθησιολογία	3
Χειρουργική	2026-05-11	Afternoon	Nurse	Νοσηλευτής	4
Χειρουργική	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
ΩΡΛ	2026-05-11	Afternoon	Admin	Διαχειριστής	1
ΩΡΛ	2026-05-11	Afternoon	Admin	Γραμματέας	1
ΩΡΛ	2026-05-11	Afternoon	Doctor	ΩΡΛ	3
ΩΡΛ	2026-05-11	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
ΩΡΛ	2026-05-11	Afternoon	Nurse	Προϊστάμενος	2
ΩΡΛ	2026-05-11	Afternoon	Nurse	Νοσηλευτής	3
Δερματολογία	2026-05-11	Morning	Admin	Λογιστής	2
Δερματολογία	2026-05-11	Morning	Doctor	Δερματολογία	2
Δερματολογία	2026-05-11	Morning	Doctor	Παθολογία	1
Δερματολογία	2026-05-11	Morning	Nurse	Νοσηλευτής	4
Δερματολογία	2026-05-11	Morning	Nurse	Προϊστάμενος	2
Επείγοντα	2026-05-11	Morning	Admin	Γραμματέας	1
Επείγοντα	2026-05-11	Morning	Admin	Λογιστής	1
Επείγοντα	2026-05-11	Morning	Doctor	Παιδιατρική	1
Επείγοντα	2026-05-11	Morning	Doctor	Καρδιολογία	2
Επείγοντα	2026-05-11	Morning	Nurse	Βοηθός Νοσηλευτή	1
Επείγοντα	2026-05-11	Morning	Nurse	Προϊστάμενος	4
Επείγοντα	2026-05-11	Morning	Nurse	Νοσηλευτής	1
Καρδιολογία	2026-05-11	Morning	Admin	Γραμματέας	1
Καρδιολογία	2026-05-11	Morning	Admin	Διαχειριστής	1
Καρδιολογία	2026-05-11	Morning	Doctor	Καρδιολογία	3
Καρδιολογία	2026-05-11	Morning	Nurse	Νοσηλευτής	2
Καρδιολογία	2026-05-11	Morning	Nurse	Προϊστάμενος	2
Καρδιολογία	2026-05-11	Morning	Nurse	Βοηθός Νοσηλευτή	2
Μαιευτική	2026-05-11	Morning	Admin	Υπεύθυνος Προμηθειών	2
Μαιευτική	2026-05-11	Morning	Doctor	Μαιευτική-Γυναικολογία	2
Μαιευτική	2026-05-11	Morning	Doctor	Γυναικολογία	1
Μαιευτική	2026-05-11	Morning	Nurse	Βοηθός Νοσηλευτή	3
Μαιευτική	2026-05-11	Morning	Nurse	Προϊστάμενος	1
Μαιευτική	2026-05-11	Morning	Nurse	Νοσηλευτής	2
Νευρολογία	2026-05-11	Morning	Admin	Λογιστής	1
Νευρολογία	2026-05-11	Morning	Admin	Γραμματέας	1
Νευρολογία	2026-05-11	Morning	Doctor	Ψυχιατρική	3
Νευρολογία	2026-05-11	Morning	Nurse	Νοσηλευτής	3
Νευρολογία	2026-05-11	Morning	Nurse	Βοηθός Νοσηλευτή	1
Νευρολογία	2026-05-11	Morning	Nurse	Προϊστάμενος	2
Νεφρολογία	2026-05-11	Morning	Admin	Γραμματέας	1
Νεφρολογία	2026-05-11	Morning	Admin	Υπεύθυνος Προμηθειών	1
Νεφρολογία	2026-05-11	Morning	Doctor	Νεφρολογία	3
Νεφρολογία	2026-05-11	Morning	Nurse	Προϊστάμενος	3
Νεφρολογία	2026-05-11	Morning	Nurse	Νοσηλευτής	2
Νεφρολογία	2026-05-11	Morning	Nurse	Βοηθός Νοσηλευτή	1
Ογκολογία	2026-05-11	Morning	Admin	Λογιστής	2
